Branco_Meio_1,Branco_Meio_1.fid
Branco_Meio_2,Branco_Meio_2.fid
A_Cefeico_Celulas_1,A_Cefeico_Celulas_1.fid
A_Cefeico_Celulas_2,A_Cefeico_Celulas_2.fid
A_Cefeico_Celulas_3,A_Cefeico_Celulas_3.fid
A_Cefeico_Celulas_4,A_Cefeico_Celulas_4.fid
A_Clorogenico_Celulas_1,A_Clorogenico_Celulas_1.fid
A_Clorogenico_Celulas_2,A_Clorogenico_Celulas_2.fid
A_Clorogenico_Celulas_3,A_Clorogenico_Celulas_3.fid
A_Clorogenico_Celulas_4,A_Clorogenico_Celulas_4.fid
Cafeina_Celulas_1,Cafeina_Celulas_1.fid
Cafeina_Celulas_2,Cafeina_Celulas_2.fid
Cafeina_Celulas_3,Cafeina_Celulas_3.fid
Cafeina_Celulas_4,Cafeina_Celulas_4.fid
CafeTorrado_Celulas_1,CafeTorrado_Celulas_1.fid
CafeTorrado_Celulas_2,CafeTorrado_Celulas_2.fid
CafeTorrado_Celulas_3,CafeTorrado_Celulas_3.fid
CafeTorrado_Celulas_4,CafeTorrado_Celulas_4.fid
CafeVerde_Celulas_1,CafeVerde_Celulas_1.fid
CafeVerde_Celulas_2,CafeVerde_Celulas_2.fid
CafeVerde_Celulas_3,CafeVerde_Celulas_3.fid
CafeVerde_Celulas_4,CafeVerde_Celulas_4.fid